,ep_score
783,51.0
784,52.0
785,45.0
786,44.0
787,62.0
788,55.0
789,49.0
790,52.0
791,42.0
792,66.0
793,50.0
794,53.0
795,56.0
796,44.0
797,66.0
798,50.0
799,50.0
800,44.0
801,48.0
802,47.0
803,53.0
804,50.0
805,57.0
806,52.0
807,48.0
808,45.0
809,44.0
810,48.0
811,50.0
812,41.0
813,52.0
814,61.0
815,47.0
816,54.0
817,51.0
818,50.0
819,45.0
820,43.0
821,43.0
822,46.0
823,52.0
824,50.0
825,52.0
826,53.0
827,45.0
828,61.0
829,55.0
830,48.0
831,53.0
832,43.0
833,47.0
834,46.0
835,51.0
836,58.0
837,59.0
838,32.0
839,45.0
840,56.0
841,49.0
842,53.0
843,50.0
844,47.0
845,49.0
846,51.0
847,45.0
848,56.0
849,50.0
850,49.0
851,50.0
852,46.0
853,52.0
854,42.0
855,49.0
856,62.0
857,47.0
858,46.0
859,42.0
860,51.0
861,47.0
862,56.0
863,49.0
864,51.0
865,47.0
866,51.0
867,53.0
868,50.0
869,54.0
870,58.0
871,52.0
872,50.0
873,51.0
874,46.0
875,50.0
876,48.0
877,54.0
878,62.0
879,52.0
880,57.0
881,62.0
882,46.0
883,85.0
884,53.0
885,74.0
886,64.0
887,55.0
888,76.0
889,61.0
890,65.0
891,129.0
892,57.0
893,74.0
894,81.0
895,74.0
896,91.0
897,73.0
898,120.0
899,135.0
900,135.0
901,141.0
902,317.0
903,120.0
904,127.0
905,293.0
906,254.0
907,167.0
908,116.0
909,147.0
910,120.0
911,120.0
912,89.0
913,132.0
914,142.0
915,96.0
916,95.0
917,116.0
918,105.0
919,107.0
920,90.0
921,156.0
922,107.0
923,132.0
924,281.0
925,159.0
926,160.0
927,518.0
928,281.0
929,133.0
930,393.0
931,177.0
932,194.0
933,80.0
934,228.0
935,94.0
936,106.0
937,134.0
938,463.0
939,177.0
940,269.0
941,95.0
942,210.0
943,56.0
944,289.0
945,140.0
946,132.0
947,173.0
948,278.0
949,113.0
950,237.0
951,153.0
952,215.0
953,82.0
954,110.0
955,282.0
956,49.0
957,290.0
958,131.0
959,393.0
960,256.0
961,255.0
962,120.0
963,550.0
964,88.0
965,167.0
966,347.0
967,139.0
968,114.0
969,143.0
970,174.0
971,145.0
972,193.0
973,215.0
974,93.0
975,187.0
976,199.0
977,109.0
978,56.0
979,188.0
980,167.0
981,137.0
982,246.0
983,95.0
984,223.0
985,285.0
986,201.0
987,323.0
988,363.0
989,63.0
990,402.0
991,158.0
992,154.0
993,115.0
994,133.0
995,113.0
996,211.0
997,235.0
998,216.0
999,202.0
1000,175.0
1001,158.0
1002,187.0
1003,152.0
1004,164.0
1005,234.0
1006,135.0
1007,97.0
1008,349.0
1009,356.0
1010,294.0
1011,611.0
1012,221.0
1013,102.0
1014,135.0
1015,713.0
1016,174.0
1017,122.0
1018,156.0
1019,121.0
1020,253.0
1021,213.0
1022,154.0
1023,87.0
1024,293.0
1025,81.0
1026,585.0
1027,340.0
1028,133.0
1029,257.0
1030,77.0
1031,185.0
1032,106.0
1033,375.0
1034,163.0
1035,112.0
1036,234.0
1037,254.0
1038,154.0
1039,154.0
1040,272.0
1041,126.0
1042,446.0
1043,82.0
1044,188.0
1045,157.0
1046,273.0
1047,172.0
1048,279.0
1049,260.0
1050,144.0
1051,105.0
1052,222.0
1053,163.0
1054,274.0
1055,150.0
1056,156.0
1057,156.0
1058,254.0
1059,238.0
1060,111.0
1061,253.0
1062,358.0
1063,303.0
1064,381.0
1065,406.0
1066,323.0
1067,498.0
1068,363.0
1069,211.0
1070,763.0
1071,202.0
1072,948.0
1073,963.0
1074,172.0
1075,461.0
1076,470.0
1077,223.0
1078,468.0
1079,90.0
1080,244.0
1081,140.0
1082,208.0
1083,377.0
1084,547.0
1085,781.0
1086,835.0
1087,590.0
1088,1000.0
1089,564.0
1090,794.0
1091,169.0
1092,162.0
1093,267.0
1094,175.0
1095,129.0
1096,259.0
1097,131.0
1098,150.0
1099,138.0
1100,230.0
1101,49.0
1102,93.0
1103,92.0
1104,143.0
1105,205.0
1106,136.0
1107,161.0
1108,152.0
1109,140.0
1110,85.0
1111,226.0
1112,96.0
1113,199.0
1114,203.0
1115,214.0
1116,143.0
1117,142.0
1118,180.0
1119,69.0
1120,125.0
1121,233.0
1122,186.0
1123,148.0
1124,121.0
1125,219.0
1126,165.0
1127,156.0
1128,145.0
1129,196.0
1130,148.0
1131,280.0
1132,193.0
1133,127.0
1134,235.0
1135,305.0
1136,274.0
1137,265.0
1138,205.0
1139,344.0
1140,918.0
1141,580.0
1142,413.0
1143,584.0
1144,547.0
1145,945.0
1146,1000.0
1147,487.0
1148,400.0
1149,69.0
1150,139.0
1151,127.0
1152,53.0
1153,52.0
1154,54.0
1155,62.0
1156,122.0
1157,80.0
1158,67.0
1159,50.0
1160,50.0
1161,42.0
1162,49.0
1163,44.0
1164,61.0
1165,45.0
1166,51.0
1167,54.0
1168,56.0
1169,47.0
1170,39.0
1171,50.0
1172,45.0
1173,50.0
1174,43.0
1175,42.0
1176,50.0
1177,42.0
1178,44.0
1179,41.0
1180,49.0
1181,118.0
1182,40.0
1183,60.0
1184,56.0
1185,45.0
1186,44.0
1187,40.0
1188,49.0
1189,43.0
1190,50.0
1191,70.0
1192,57.0
1193,99.0
1194,62.0
1195,43.0
1196,38.0
1197,47.0
1198,51.0
1199,51.0
1200,48.0
1201,58.0
1202,45.0
1203,52.0
1204,48.0
1205,20.0
1206,70.0
1207,48.0
1208,82.0
1209,53.0
1210,38.0
1211,56.0
1212,121.0
1213,89.0
1214,70.0
1215,103.0
1216,48.0
1217,48.0
1218,110.0
1219,53.0
1220,68.0
1221,71.0
1222,140.0
1223,145.0
1224,103.0
1225,47.0
1226,112.0
1227,120.0
1228,126.0
1229,109.0
1230,54.0
1231,158.0
1232,124.0
1233,65.0
1234,79.0
1235,62.0
1236,102.0
1237,198.0
1238,104.0
1239,56.0
1240,80.0
1241,168.0
1242,106.0
1243,113.0
1244,166.0
1245,63.0
1246,135.0
1247,95.0
1248,71.0
1249,113.0
1250,235.0
1251,149.0
1252,122.0
1253,57.0
1254,111.0
1255,369.0
1256,173.0
1257,187.0
1258,63.0
1259,341.0
1260,278.0
1261,111.0
1262,158.0
1263,145.0
1264,94.0
1265,179.0
1266,292.0
1267,102.0
1268,128.0
1269,264.0
1270,120.0
1271,66.0
1272,284.0
1273,691.0
1274,125.0
1275,74.0
1276,508.0
1277,331.0
1278,187.0
1279,274.0
1280,335.0
1281,1000.0
1282,153.0
1283,834.0
1284,295.0
1285,412.0
1286,228.0
1287,723.0
1288,338.0
1289,333.0
1290,305.0
1291,240.0
1292,969.0
1293,487.0
1294,718.0
1295,223.0
1296,581.0
1297,293.0
1298,487.0
1299,348.0
1300,149.0
1301,194.0
1302,1000.0
1303,1000.0
1304,333.0
1305,790.0
1306,1000.0
1307,1000.0
1308,618.0
1309,1000.0
1310,1000.0
1311,776.0
1312,340.0
1313,1000.0
1314,1000.0
1315,1000.0
1316,1000.0
1317,1000.0
1318,797.0
1319,628.0
1320,326.0
1321,304.0
1322,110.0
1323,184.0
1324,144.0
1325,149.0
1326,109.0
1327,108.0
1328,98.0
1329,79.0
1330,114.0
